drugs_CUI,Name
C3899947,binimetinib
C0005575,biotin
C0005578,biperiden
C0005632,bisacodyl
C0053792,bismuth subsalicylate
C0053817,bitolterol
C0005740,bleomycin
C3853839,blinatumomab
C0287983,blonanserin
C1738934,boceprevir
C1831731,bosutinib
C1721339,bremelanotide
C2973446,brentuximab vedotin
C0054040,bretylium
C4548848,brexanolone
C3885614,brexpiprazole
C4287815,brigatinib
C0673966,brinzolamide
C0054120,bromodiphenhydramine
C0054094,bromfenac
C0006246,brompheniramine
C0164386,buclizine
C0006359,Buformin
C0006376,bumetanide
C0054222,bunazosin
C0028735,nylidrin
C0006400,bupivacaine
C0006403,bupranolol
C0006466,butacaine
C0054234,butalbital
C0054235,butamben
C0107497,butenafine
C0054249,butobarbital
C0054259,butoconazole
C0006491,butorphanol
C0054270,butriptyline
C0047625,3-n-butylphthalide
C3181682,cabozantinib
C0006644,caffeine
C2699709,calaspargase pegol
C0006657,calcifediol
C0073994,salmon calcitonin
C0717537,calcium acetate
C0006681,calcium carbonate
C0006686,calcium chloride
C0108101,calcium citrate
C0108111,calcium gluceptate
C0006699,calcium gluconate
C3652644,calcium glycerylphosphate
C0108121,calcium lactate
C0771535,Calcium lactate gluconate
C0108124,calcium levulinate
C0006710,calcium pantothenate
C0006711,calcium phosphate
C0108139,calcium polystyrene sulfonate product
C0763530,calfactant
C0129975,camostat
C0006809,camphor
C2718773,canakinumab
C0527379,candesartan cilexetil
C0006834,Candicidin
C0671970,capecitabine
C3713057,caplacizumab
C0262964,capreomycin
C0006931,capsaicin
C0301409,captodiamine
C0108342,carbamide peroxide
C0006976,carbenicillin
C0006979,carbenoxolone
C0054670,carbetocin
C0054672,carbinoxamine
C0079083,carboplatin
C0007047,carboprost
C0007077,carbromal
C0007080,carbutamide
C0771221,Carphenazine
C2001856,carfilzomib
C0054667,carbenicillin indanyl
C2936870,cariprazine
C0007248,carisoprodol
C0044401,carmofur
C0007257,carmustine
C0054820,caroxazone
C0007299,carteolol
C3709760,coagulation factor XIII a-subunit (recombinant)
C0007537,cefaclor
C0007538,cefadroxil
C0007716,cephalexin
C0007735,cephalothin
C0007541,cefamandole
C0007737,cephapirin
C0007546,cefazolin
C0060405,cefdinir
C0245519,cefditoren pivoxil
C0055003,cefepime
C4548369,cefiderocol
C0060400,cefixime
C0007550,cefmetazole
C0007551,cefonicid
C0007554,cefotaxime
C0007555,cefotetan
C0007557,cefoxitin
C0108938,cefpodoxime proxetil
C0053882,cefprozil
C0007738,cephradine
C2001525,ceftaroline fosamil
C0007559,ceftazidime
C0055014,ceftibuten
C0007560,ceftizoxime
C3852726,ceftolozane
C0007561,ceftriaxone
C0007562,cefuroxime
C0055015,cefuroxime axetil
C0055021,celiprolol
C4724806,cemiplimab
C4541383,cenegermin
C3818721,ceritinib
C0528023,cerivastatin
C4475875,cerliponase alfa
C1872109,certolizumab pegol
C1957370,cetilistat
C0995188,cetuximab
C0055152,cetyl alcohol
C2045867,chenodiol + ursodiol
C2932486,N-(2-amino-5-fluorobenzyl)-4-(N-(pyridine-3-acrylyl)aminomethyl)benzamide
C0008161,chloral hydrate
C0008163,chlorambucil
C0008168,chloramphenicol
C0055339,chloramphenicol succinate
C2699179,chlorbenzoxamine
C0008183,chlorcyclizine
C0008188,chlordiazepoxide
C0262965,chlormadinone
C0008223,chlormezanone
C0008273,chlorothiazide
C0055461,chloroxine
C0008281,chlorpheniramine
C0055467,chlorphenesin carbamate
C0008283,Chlorphentermine
C0008286,chlorpromazine
C0008290,chlorprothixene
C0008293,chlortetracycline
C0008296,chlorzoxazone
C0055568,cholic acid
C0008405,choline
C2586675,choline fenofibrate
C0719064,choline magnesium trisalicylate
C0008736,chymopapain
C0007404,catechin
C0055711,ciclopirox
C0008777,cilastatin
C0055723,cilazapril
C0012050,dibucaine
C0008793,cinchophen
C0008803,cinnarizine
C0008806,cinoxacin
C0055775,ciprofibrate
C0008845,citalopram
C0055819,citric acid
C0055856,clarithromycin
C0055860,clavulanic acid
C0008929,clemastine
C0766108,clevidipine
C0045212,Clevudine
C0055877,clidinium
C0666079,climbazole
C0008947,clindamycin
C0055881,clindamycin phosphate
C0021978,clioquinol
C0055895,clobetasol propionate
C0055896,clobetasone butyrate
C0055897,clobutinol
C0055900,clocortolone pivalate
C0092777,clofarabine
C0055904,chlophedianol
C0009002,clofibrate
C0008221,chlormethiazole
C0009026,Clopenthixol
C0008174,clorazepate
C0050066,cloricromen
C0771259,clortermine
C0009074,clotrimazole
C0009077,cloxacillin
C3177235,cobicistat
C4049146,cobimetinib
C0009214,codeine
C0541155,colesevelam
C4550351,Colestilan chloride
C0009279,colestipol
C0216971,colfosceril palmitate
C0110462,colistimethate sodium
C0009316,colistin
C3273430,condoliase
C3195420,C1 esterase inhibitor (recombinant)
C0966107,conivaptan
C0014938,"estrogens, conjugated (USP)"
C0056391,cortisone acetate
C4301781,crisaborole
C3255208,asparaginase Erwinia chrysanthemi
C4524703,crizanlizumab
C2744960,crofelemer
C3653122,"cromoglicic acid, combinations"
C0728803,crospovidone
C0056519,crotamiton
C3714801,Cyanocobalamin Drug Class
C0010523,cyclacillin
C0010547,cyclizine
C0056732,cyclobenzaprine
C0010582,cyclopentolate
C0010590,cycloserine
C0056835,cycrimine
C0010620,cyproheptadine
C0010654,cysteine
C0010711,cytarabine
C3467876,dabrafenib
C0010927,dacarbazine
C3252090,daclatasvir
C0663182,daclizumab
C2987430,dacomitinib
C0010934,dactinomycin
C1172636,dalbavancin
C0756085,dalfopristin
C0524095,Dantron measurement
C0057144,daptomycin
C0529351,darifenacin
C4547776,darolutamide
C1435444,darunavir
C3852512,dasabuvir
C1455147,dasatinib
C0011015,daunorubicin
C0011145,deferoxamine
C0057258,deflazacort
C0011182,dehydrocholic acid
C2828290,delafloxacin
C3489682,Delamanid
C0057301,delapril
C0288165,delavirdine
C0011276,demeclocycline
C0615823,demexiptiline
C0717670,denileukin diftitox
C0011479,deoxycholic acid
C0908935,desloratadine
C0011705,desonide
C0011707,desoximetasone
C1880288,desvenlafaxine
C4277781,deutetrabenazine
C0057598,dexamethasone acetate
C0011812,dextroamphetamine
C0057605,dexbrompheniramine
C0057606,dexchlorpheniramine
C0011785,dexetimide
C2714681,dexibuprofen
C2348248,dexlansoprazole
C1169997,dexmethylphenidate
C0057610,dexpanthenol
C3661450,Dexrabeprazole
C0011816,dextromethorphan
C0011817,dextromoramide
C0033493,propoxyphene
C0011824,dextrothyroxine
C0057626,dezocine
C0011892,heroin
C1445578,recombinant human bone morphogenetic protein-2
C3652699,dibromotyrosine
C0600203,dichloroacetic acid
C0012082,dichlorophen
C0012086,dichlorphenamide
C0012093,dicloxacillin
C0005640,dicumarol
C0012125,dicyclomine
C0012145,dienestrol
C0012201,diethylpropion
C0057981,difenoxin
C0057992,diflorasone diacetate
C0012228,diflunisal
C0058056,dihydrocodeine
C0012288,dihydroergocornine
C0012319,dihydrotachysterol
C0012341,iodoquinol
C0058181,diloxanide furoate
C0012381,dimenhydrinate
C0012383,dimercaprol
C1113707,dimethicone
C0012403,dimethyl sulfoxide
C0012471,dinoprost
C0012472,dinoprostone
C0281581,dinutuximab
C0058344,dioxybenzone
C0012522,diphenhydramine
C0058371,diphenidol
C0012525,diphenoxylate
C0058389,diphenylpyraline
C0058415,dipivefrin
C3653146,"diprophylline, combinations"
C0012582,dipyridamole
C0058445,dirithromycin
C0012702,disopyramide
C0012757,distigmine
C2348308,doconexent
C0075770,docosanol
C0243237,docusate sodium
C3253985,dolutegravir
C0013015,domperidone
C4045491,doravirine
C0389169,doripenem
C0013065,dothiepin
C0013084,doxapram
C0114875,doxefazepam
C0013085,doxepin
C0048808,doxifluridine
C0013089,doxorubicin
C0013090,doxycycline
C0013092,doxylamine
C0039663,dronabinol
C0058425,dipropizine
C0043822,drospirenone
C0571665,Drostanolone propionate allergy
C4055109,durvalumab
C0754659,dutasteride
C4079854,duvelisib
C0058831,dyclonine
C0058895,ebastine
C0209315,ecabet
C1722685,ecallantide
C0301366,ecothiopate
C0013547,econazole
C0013618,edetic acid
C3273754,efinaconazole
C0002260,eflornithine
C3834170,efmoroctocog alfa
C0286819,efonidipine
C3818700,coagulation factor IX recombinant immunoglobulin G1 fusion protein
C0000545,eicosapentaenoic acid
C2714632,elagolix
C4731737,elapegademase
C4080052,elbasvir
C2828245,eldecalcitol
C5139717,elexacaftor
C3272698,eliglustat
C3659266,elobixibat
C3817397,elosulfase alfa
C1832049,elotuzumab
C3712232,eluxadoline
C2606637,elvitegravir
C4740904,emapalumab
C0064263,emedastine
C0014027,enalaprilat
C4519428,enasidenib
C0085251,encainide
C4079208,encorafenib
C0116074,endralazine
C4519740,enfortumab vedotin
C0537439,enfuvirtide
C0014310,enoxacin
C0724579,enoxaparin sodium
C4086264,entrectinib
C0014405,Enviomycin
C0095278,epalrestat
C0043606,eperisone
C0014479,ephedrine
C3714499,epicriptine
C0078442,epinastine
C0014582,epirubicin
C3652978,epitizide and potassium-sparing agents
C0287041,eprosartan
C0795575,eptacog alfa activated
C4694272,eptinezumab
C1445625,Recombinant human bone morphogenetic protein 7
C4519323,erdafitinib
C0059506,erdosteine
C0014708,"ergoloid mesylates, USP"
C0014704,ergonovine
C2350866,eribulin
C1135135,erlotinib
C1120106,ertapenem
C0014806,erythromycin
C0014810,erythromycin ethylsuccinate
C0116569,esmolol
C0014912,estradiol
C1330622,estradiol acetate
C0059610,estradiol cypionate
C0059623,estradiol valerate
C0014921,estramustine
C0014942,estrone
C0059668,estrone sulfate
C3713906,etelcalcetide
C4283710,eteplirsen
C0059688,ethacizine
C0014963,ethacrynic acid
C0059690,ethadione
C0014987,ethchlorvynol
C0059714,ethinamate
C0015011,ethinyl estradiol
C0015021,ethionamide
C0015046,ethotoin
C0059772,ethyl loflazepate
C0015121,etidronic acid
C0059862,etizolam
C0059865,etodolac
C0059868,etofenamate
C0059874,etoposide phosphate
C1456409,etravirine
C0541315,everolimus
C4519114,evocalcet
C4279601,Evogliptin
C3529352,evolocumab
C0851344,exemestane
C0209227,famciclovir
C1880735,faropenem medoxomil
C0062068,fasudil
C3886623,fedratinib
C0060135,felbamate
C0877860,felbinac
C0015824,fendiline
C0060180,fenoldopam
C0015837,fenoprofen
C0060194,fenproporex
C0060201,fentiazac
C0060203,fenticonazole
C0060231,ferric citrate
C0060237,ferric maltol
C0060240,ferric oxide
C0060276,ferrous fumarate
C0060277,ferrous gluconate
C0060274,ferumoxytol
C2343853,fesoterodine
C0296800,fexofenadine
C0065023,fidaxomicin
C2825622,fimasartan
C2825286,finafloxacin
C0016225,flavoxate
C0016245,floctafenine
C0016343,floxuridine
C0060483,fludarabine phosphate
C0616274,fludrocortisone acetate
C0016374,flurandrenolide
C0016282,flufenamic acid
C0016294,flumethasone
C0060501,flunisolide
C0060504,flunoxaprofen
C0016298,fluocinolone acetonide
C0016299,fluocinonide
C0016351,fluorometholone
C0724587,fluorometholone acetate
C0016365,fluoxetine
C0016366,fluoxymesterone
C0016367,flupenthixol
C0016368,fluphenazine
C0060580,fluphenazine decanoate
C0066682,fluphenazine enanthate
C0016375,flurazepam
C0016377,flurbiprofen
C0016383,fluspirilene
C1948374,fluticasone furoate
C0082608,fluvastatin
C0048504,fomepizole
C0292819,fomivirsen
C0016564,formaldehyde
C0048306,formestane
C1997549,Forodesine hydrochloride
C1176315,fosamprenavir
C2349941,fosaprepitant
C0016610,fosfomycin
C0118168,fosinopril
C4691680,fosnetupitant
C2713632,fostamatinib
C4549503,fremanezumab
C0060825,fumaric acid
C0878309,Furazidin
C0016875,fusidic acid
C2700226,gabapentin enacarbil
C4694273,galcanezumab
C1615657,galsulfase
C1507354,garenoxacin
C0753645,gatifloxacin
C1122962,gefitinib
C0533545,gemifloxacin
C3501981,Gemigliptin
C3854019,gentamicin
C0066624,gepirone
C3896940,gilteritinib
C0535459,gimeracil
C4688584,givosiran
C4519273,glasdegib
C4519536,glecaprevir
C0350998,glibornuride
C0061328,gliquidone
C0061330,glisoxepide
C0061387,gluconolactone
C0017797,glutamine
C0017845,glutethimide
C0017861,glycerin
C3490329,glycerol phenylbutyrate
C0573951,Glyceryl trinitrate overdose
C0017890,glycine
C4082411,Glycopyrronium Bromide
C0351000,glymidine
C5222004,golodirsen
C0023610,gonadorelin
C0120107,goserelin
C0018165,gramicidin
C0061863,granisetron
C4080053,grazoprevir
C0287721,grepafloxacin
C0018304,guaiacol
C0018305,guaifenesin
C0018312,guanabenz
C0061938,guanadrel
C0079466,guanfacine
C0120446,guanidine
C0062076,hachimycin
C0062092,halazepam
C0018513,halcinonide
C0018546,haloperidol
C0062103,haloperidol decanoate
C0062106,haloprogin
C0018927,Hematin
C0018988,hemin
C0062648,hexamidine
C0019588,histamine
C0121902,histrelin
C0062922,homatropine
C0020264,hydrocodone
C0063077,hydrocortisone acetate
C0770560,hydrocortisone sodium succinate
C0020273,hydroflumethiazide
C0012306,hydromorphone
C0020316,hydroxocobalamin
C0030140,p-hydroxyamphetamine
C0020404,hydroxyzine
C0596004,hyoscyamine
C1434792,ibalizumab
C0379200,ibandronic acid
C0123043,ibopamine
C0877880,ibritumomab tiuxetan
C3501358,ibrutinib
C0123047,ibudilast
C0246269,icatibant
C0058978,icosapent ethyl
C2604307,icotinib
C0020789,idarubicin
C3885063,idarucizumab
C0123163,idebenone
C2698692,idelalisib
C0020811,idoxuridine
C1739462,idursulfase
C1872427,iguratimod
C1881129,ilaprazole
C1876226,imidafenacin
C0165703,imidapril
C0291140,imiglucerase
C0020933,imipenem
C0020934,imipramine
C0063433,imolamine
C1505698,Imrecoxib
C1881172,Incadronic Acid
C0063449,indanazoline
C0376637,indinavir
C2825682,ingenol mebutate
C0063584,inositol niacinate
C4731850,inotersen
C1567130,inotuzumab ozogamicin
C3491971,insulin degludec
C1313386,"insulin glulisine, human"
C0051691,amiridine
C1367202,ipilimumab
C3492889,ipragliflozin
C0027235,ipratropium
C0123903,ipriflavone
C0063841,iproclozide
C0022059,iproniazid
C0123931,irinotecan
C4330502,isatuximab
C4018471,isavuconazonium
C0022154,isocarboxazid
C0081787,isoflupredone acetate
C0301373,isopropamide
C0022251,isosorbide
C0022252,isosorbide dinitrate
C0064079,isosorbide mononitrate
C0022267,isoxsuprine
C0531483,itopride
C4682397,ivosidenib
C1135132,ixabepilone
C3273711,ixazomib
C0022487,kanamycin
C0073631,ketorolac
C0064582,lactic acid
C0064585,lactitol
C0022949,lactose
C0172827,lafutidine
C4505508,lanadelumab
C0905464,landiolol
C4706204,laninamivir octanoate monohydrate
C1506770,lapatinib
C1260208,laquinimod
C1302054,laronidase
C1956497,Laropiprant
C4524315,larotrectinib
C0963839,Lasofoxifene
C4279599,latanoprostene bunod
C3851350,ledipasvir
C4482908,lefamulin
C4519269,lemborexant
C1144149,lenalidomide
C0218640,lenograstim
C2986924,lenvatinib
C0526399,lercanidipine
C3886073,lesinurad
C3852938,letermovir
C0023413,leucovorin
C0085272,leuprolide
C0724614,levo-methamphetamine
C1171274,levobetaxolol
C0006388,levobunolol
C0064870,levocabastine
C0087163,levocarnitine
C1174893,levocetirizine
C2721771,levoleucovorin
C2825462,levomefolic acid
C0771655,levomenthol
C0772241,levomethadone
C3536876,Levomethadyl Acetate
C3541367,levomilnacipran
C0023566,levonorgestrel
C0023586,levorphanol
C0772501,levalbuterol
C3713860,lifitegrast
C0064987,limaprost
C2000261,linaclotide
C0023726,lincomycin
C0005038,lindane
C3640212,lipegfilgrastim
C1873633,lisdexamfetamine
C0023863,lisuride
C0085217,lithium carbonate
C0125997,lithium citrate
C2973895,lixisenatide
C2744790,lobeglitazone
C0126120,lodoxamide
C0023961,lofepramine
C0065152,lofexidine
C0065162,lomefloxacin
C2827241,lomitapide
C0023972,lomustine
C0065175,lonidamine
C4257011,lonoctocog alfa
C0023992,loperamide
C0674432,lopinavir
C0771040,loprazolam mesylate
C0065295,loracarbef
C2350948,lorcaserin
C0055477,lornoxicam
C0126177,loteprednol etabonate
C0024056,loxapine
C0065199,loxoprofen
C1684405,lubiprostone
C1609686,lucinactant
C1956280,luliconazole
C3852684,lumacaftor
C4305843,lumateperone
C0531104,lumefantrine
C1176415,lumiracoxib
C2003424,lurasidone
C2933904,"1,5-anhydro-1-(5-(4-ethoxybenzyl)-2-methoxy-4-methylphenyl)-1-thioglucitol"
C4086553,luspatercept
C4309207,lusutrombopag
C3272344,lutetium Lu 177 dotatate
C0032483,polyethylene glycols
C0543448,magnesium aspartate
C0065517,magnesium carbonate
C0024472,magnesium chloride
C0126774,magnesium citrate
C0126777,magnesium gluconate
C0024476,magnesium hydroxide
C0717900,magnesium lactate
C0024477,magnesium oxide
C0126789,magnesium salicylate
C0851342,magnesium silicate
C0024547,malathion
C0065636,mandelic acid
C0024778,maprotiline
C0733397,masoprocol
C0043872,maxacalcitol
C0065760,mazaticol
C0024977,mazindol
C0065831,mebanazine
C0065832,mebeverine
C0065834,mebhydroline
C0065835,mebikar
C0025029,mecamylamine
C0904505,mecasermin
C1696547,mecasermin rinfabate
C0025033,mechlorethamine
C0065841,meclocycline
C0025042,meclofenamic acid
C3652852,"meclozine, combinations"
C0025147,medroxyprogesterone
C0065865,medrysone
C0025152,mefenamic acid
C0065870,mefenorex
C0065879,megestrol acetate
C0025217,Melarsoprol
C0064871,levodopa methyl ester
C0083381,meloxicam
C4720053,Menadiol Sodium Diphosphate Tablets
C0065936,menatetrenone
C0034403,quinacrine
C0360172,mepenzolate
C0025380,mephentermine
C0025381,mephenytoin
C0025386,meprobamate
C0025387,meptazinol
C4542172,mepyramine theophyllinacetate
C0066005,meropenem
C0025497,mesoridazine
C0025506,mestranol
C0025603,methacycline
C0663351,metahexamide
C0025575,metaraminol
C0163055,metaxalone
C0025611,methamphetamine
C0025624,methantheline
C0025625,methapyrilene
C0025629,metharbital
C0025631,methazolamide
C0066101,methdilazine
C0025638,methenamine
C0025659,methocarbamol
C0025681,methoxamine
C1328071,methoxy polyethylene glycol-epoetin beta
C0301374,methscopolamine
C0109002,methsuximide
C0066412,methylnicotinate
C0066282,methyl salicylate
C0025760,methylergonovine
C3848532,methylhomatropine
C0066411,methylnaltrexone
C0066418,methylpentynol
C0025810,methylphenidate
C0025382,mephobarbital
C0600901,methylprednisolone acetate
C0700546,methylprednisolone sodium succinate
C0025826,methyltestosterone
C0025840,methyprylon
C0025643,methicillin
C0873165,Meticrane
C0041030,metipranolol
C0886584,metyrosine
C0066139,methixene
C0604284,metizoline
C0025854,metolazone
C0961965,metreleptin
C0025893,mezlocillin
C0025912,mianserin
C0286185,mibefradil
C1120386,micafungin
C0025942,miconazole
C0526371,midostaurin
C4307886,mifamurtide acid
C0026088,mifepristone
C2698220,migalastat
C0066535,miglitol
C1321596,miglustat
C0026187,minocycline
C2825721,Minodronic acid
C2604635,mipomersen
C2353244,mirodenafil
C0906166,mitiglinide
C0002475,mitomycin
C0026256,mitotane
C0171302,mizolastine
C0066685,moexipril
C2987603,mogamulizumab
C0026388,molindone
C0026400,molsidomine
C0066700,mometasone furoate
C0771957,monoxerutin
C0079856,moricizine
C0966500,"antihemophilic factor, human recombinant residues 743-1636 deleted"
C0066805,moroxydine
C0208216,mosapramine
C0129022,motretinide
C2717021,moxetumomab pasudotox
C0163557,moxidectin
C0040108,moxisylyte
C0085259,mupirocin
C0085379,muromonab-CD3
C0068333,nabilone
C0068334,nabumetone
C0286402,nadifloxacin
C0027302,nadolol
C5848169,Nadroparin Calcium
C0207683,nafamostat
C0027324,nafcillin
C0027329,nafronyl
C0068367,naftifine
C0083701,naftopidil
C0027348,nalbuphine
C4325235,naldemedine
C0068377,nalmefene
C3700399,naloxegol
C0027358,naloxone
C0027360,naltrexone
C0027368,nandrolone
C0068395,nandrolone decanoate
C0027373,naphazoline
C0540623,naratriptan
C0027444,natamycin
C2352806,necitumumab
C0068483,nedocromil
C0068485,nefazodone
C0907349,nelarabine
C0525005,nelfinavir
C0382131,neltenexine
C2742587,nemonoxacin
C0027603,neomycin
C2698448,nepinalone
C2713008,neratinib
C1882065,Neridronic Acid
C4535718,netarsudil
C1700730,netupitant
C0132326,nevirapine
C0068700,nicorandil
C0028027,niacinamide
C0028040,nicotine
C3536880,Nicotinic Acid [EPC]
C0028053,nicotinyl alcohol
C3266849,nifurtoinol
C1721377,nilotinib
C2744440,niraparib
C0028116,nisoldipine
C0068788,nitazoxanide
C0028126,nitrazepam
C0028157,nitrofurazone
C0028158,nitrogen
C0028193,nitroprusside
C3657270,nivolumab
C0085154,nizatidine
C2826076,nonacog alfa
C0068980,norethindrone acetate
C0028356,norethindrone
C0028360,norethynodrel
C0068992,norgestimate
C0028476,noxythiolin
C0028741,nystatin
C0086728,obidoxime
C4224790,obiltoxaximab
C2742503,obinutuzumab
C0066522,ocriplasmin
C0051923,octotropine methylbromide
C0046100,octinoxate
C1691209,Octocog alfa
C1832027,ofatumumab
C0028902,ofloxacin
C0171023,olanzapine
C2316164,olaparib
C2698152,olaratumab
C4301624,olmutinib
C2934193,olodaterol
C0527189,olopatadine
C0062941,omacetaxine mepesuccinate
C2983838,omadacycline
C4279587,Omarigliptin
C3852670,ombitasvir
C3832882,omega-3 carboxylic acids
C5139819,omidenepag isopropyl
C0069488,omoconazole
C5140028,onasemnogene abeparvovec
C0061851,ondansetron
C2933912,opicapone
C0029105,opipramol
C0537670,oprelvekin
C0029193,metaproterenol
C1144403,oritavancin
C0029309,orphenadrine
C4330903,osilodrostat
C1313616,ospemifene
C0030032,Oxonic Acid
C0064164,oxaceprol
C0029983,oxacillin
C0069709,oxaflozane
C0069717,oxaliplatin
C0029994,oxamniquine
C0069739,oxaprozin
C0029997,oxazepam
C0795712,Oxedrine
C0069753,oxeladin
C0069760,oxetorone
C0069765,oxiconazole
C0069776,oxitropium
C0030049,oxycodone
C0030071,oxymetazoline
C0030072,oxymetholone
C0030073,oxymorphone
C0030077,oxypertine
C0069833,oxyphencyclimine
C0031422,oxyphenisatin
C0030080,Oxyphenisatin Acetate
C0030092,oxytetracycline
C0069392,ozagrel
C4278675,ozanimod
C2983945,ozenoxacin
C2698706,padeliporfin
C3853822,palbociclib
C0677829,palifermin
C0753678,paliperidone
C0672596,palivizumab
C0220578,palonosetron
C3714572,pamidronic acid
C0770343,pancrelipase
C0879427,panitumumab
C1998098,panobinostat
C0030350,papaverine
C0070072,paramethadione
C0030520,parathyroid hormone
C0915142,parecoxib
C0030557,pargyline
C3864824,paritaprevir
C0030576,paromomycin
C0070122,paroxetine
C1872203,pasireotide
C4301626,Patiromer Calcium
C3896714,patisiran
C1831796,pazopanib
C0175022,pazufloxacin
C0164674,pegademase bovine
C1531015,pegaptanib
C3179929,peginesatide
C3848580,peginterferon beta-1a
C2350656,pegloticase
C4519229,pegvaliase
C4547051,Pemafibrate
C3658706,pembrolizumab
C4724807,pemigatinib
C0053881,pemirolast
C0030800,pemoline
C0030812,penbutolol
C0164815,penciclovir
C0030873,pentazocine
C0301375,penthienate
C0030883,pentobarbital
C0600296,pentosan polysulfate
C0054668,carbetapentane
C1675326,peramivir
C0030969,perazine
C0084572,perospirone
C0031184,perphenazine
C0025376,meperidine
C4287804,pexidartinib
C0070525,phenacemide
C1161346,"Antipyrinum, phenazone"
C0031379,phenazopyridine
C0070549,phendimetrazine
C0031392,phenelzine
C0070563,phenindamine
C0031408,pheniramine
C0031411,phenmetrazine
C0070570,phenol
C0070585,phenothrin
C0031441,phenoxybenzamine
C0530801,phenoxymethylpenicillin amidohydrolase
C0031444,phenprocoumon
C0070592,phensuximide
C0031448,phentolamine
C0070620,phenylacetic acid
C0031469,phenylephrine
C0301304,phenylmercuric nitrate
C0031495,phenylpropanolamine
C0070709,phenyltoloxamine
C0031862,vitamin K1
C4519537,pibrentasvir
C0164155,pilsicainide
C1722267,pimavanserin
C0031935,pimozide
C0071074,pinacidil
C0031955,piperacillin
C0031957,piperazine
C0624744,"3,3-diethyl-2,4-dioxopiperidine"
C0031962,piperonyl butoxide
C0770895,pipotiazine palmitate
C0071129,pirbuterol
C0071132,piretanide
C0031979,piribedil
C0071143,pirlindole
C1101838,pitavastatin
C3529928,pitolisant
C0253355,pixantrone
C3502652,plazomicin
C3711911,plecanatide
C1955474,plerixafor
C0026234,plicamycin
C0286382,polaprezinc
C4078806,polatuzumab vedotin
C0071324,poldine
C0071330,polidocanol
C4519118,Polmacoxib
C0032535,polymyxin B
C0032601,polysorbate 80
C0032613,polythiazide
C0032623,polyvinyl alcohol
C2347624,pomalidomide
C0771648,poractant alfa
C1130428,porfimer sodium
C0137984,potassium acetate
C0032825,potassium chloride
C0137996,potassium citrate
C0301527,potassium gluconate
C3652561,Error: 404
C0032831,potassium iodide
C0032901,prajmalium bitartrate
C1721300,pralatrexate
C0071808,pralidoxime
C0071809,pramiracetam
C0071810,pramoxine
C0526058,pranlukast
C0011185,prasterone
C0032910,prazepam
C0071836,prednicarbate
C0071839,prednisolone acetate
C0138273,prednisolone sodium phosphate
C4310440,pretomanid
C0033124,prilocaine
C0033148,primidone
C0033209,probenecid
C0033215,probucol
C0030830,penicillin G procaine
C0033229,prochlorperazine
C0033254,procyclidine
C0033308,progesterone
C0072315,proglumetacin
C0008241,proguanil
C0033399,promazine
C0033405,promethazine
C0033447,propantheline
C0072225,propylene glycol
C0033602,protamine sulfate (USP)
C0033743,protriptyline
C0913506,prucalopride
C0527129,prulifloxacin
C0060234,prussian blue insoluble
C0033798,pseudoephedrine
C0034235,pyrantel
C0034245,pyrethrins
C0072735,pyrithione
C0072768,pyronaridine
C0072828,quazepam
C0123091,quetiapine
C0243449,quifenadine
C0072857,quinapril
C0034410,quinestrol
C0072865,quinfamide
C0756081,quinupristin
C2980091,quizartinib
C0050461,racecadotril
C3651264,radium Ra 223 dichloride intravenous solution
C3273827,Radotinib
C1871526,raltegravir
C0753318,ramatroban
C1565316,ramelteon
C0526950,ramosetron
C2742502,ramucirumab
C0073633,ranolazine
C4550350,ravulizumab
C2717174,raxibacumab
C0069562,rebamipide
C2980094,regorafenib
C4317244,relebactam
C0246631,remifentanil
C0073076,reproterol
C1869620,reslizumab
C0073085,resorcinol
C1703334,retapamulin
C0256103,reteplase
C0087161,all-trans-retinol
C4519232,revefenacin
C4045494,ribociclib
C0140575,rifabutin
C0035608,rifampin
C0073371,rifamycin SV
C0073372,rifapentine
C0140591,rilmenidine
C2343589,rilonacept
C1566826,rilpivirine
C0035629,rimantadine
C4519126,rimegepant
C0140594,rimexolone
C4045501,Ripasudil
C0140610,risedronic acid
C0073393,risperidone
C3273719,rolapitant
C1527027,romidepsin
C2364481,romiplostim
C4542175,ropeginterferon alfa-2b
C1700683,rotigotine
C0073601,roxatidine acetate
C3661315,rucaparib
C0534301,rupatadine
C0035976,rutin
C0718043,sacrosidase
C4033447,sacubitril
C0036071,salicylamide
C0036079,salicylic acid
C0073983,salsalate
C0048897,sapropterin
C0286738,saquinavir
C4519292,sarecycline
C0216231,sargramostim
C3885145,sarilumab
C3852920,saroglitazar
C1611934,saxagliptin
C0036442,scopolamine
C2183766,dipyrone + scopolamine butylbromide
C4050579,sebelipase alfa
C0006464,butabarbital
C0074246,secnidazole
C0036516,secobarbital
C0074281,selenium sulfide
C2000145,selexipag
C3852671,selinexor
C2980074,selumetinib
C3489575,"sennosides, USP"
C0036720,serine
C0142046,sermorelin
C0074391,sertaconazole
C0074393,sertraline
C0069628,setiptiline
C0037098,silicon dioxide
C1870115,silodosin
C1609931,siltuximab
C2605855,simeprevir
C4064080,simoctocog alfa
C1960121,sinecatechins
C3657824,siponimod
C0072980,sirolimus
C0171447,sitafloxacin
C1704271,sitaxsentan
C0130137,sivelestat
C0074714,sobrerol
C0142825,sodium citrate
C0377349,sodium glycerophosphate
C0074757,sodium phosphate
C0770578,"sodium phosphate, monobasic"
